sutton-2019-bitter-lesson	1-14	plain
brooks-2019-better-lesson	19-34	plain
campbell-2002-deep-blue	1277-1330	reflow
mccarthy-1989-drosophila	96-116	reflow
wikipedia-deep-blue	161-180	plain
wikipedia-alphago	235-240	plain
wikipedia-speech-recognition	42-56	plain
wikipedia-moores-law	210-250	plain
wikipedia-sift	253-266	plain
wikipedia-stockfish	131-136	plain
wikipedia-alphafold	129-152	plain
wikiquote-jelinek	8-22	plain
silver-2016-alphago-nature	44-47	plain
silver-2017-alphago-zero	5-16	reflow
silver-2017-alphazero-arxiv	15-15	plain
hooker-2020-hardware-lottery	15-15	plain
thompson-2020-computational-limits	15-15	plain
marcus-2018-critical-appraisal	15-15	plain
bronstein-2021-geometric-deep-learning	15-15	plain
dosovitskiy-2020-vit	15-15	plain
he-2015-resnet	15-15	plain
glue-2025-classical-vs-learned	15-15	plain
lowe-2004-sift	10-20	reflow
jumper-2021-alphafold	100-124	plain
epoch-2023-gpu-price-performance	241-246	plain
erman-1980-hearsay-ii	706-726	reflow
hinton-2012-dnn-speech	894-925	reflow
krizhevsky-2012-alexnet	38-60	reflow
