yc-rfs-summer-2026-archived	105:158
notion-verified-pages	144:175
nature-model-collapse	46:92
agile-manifesto-history	6:36
grammarly-authorship	20:308
cursor-blame-docs	3:50
agentblame-github	100:260
github-co-authored-by	14:50
c2pa-about	1:12
fowler-ci	3:10
adr-nygard	13:60
vertex-check-grounding	19:40
ragas-faithfulness	356:382
schemaorg-claimreview	26:36
discourse-graphs	1:50
hypothesis-about	1:25
scite-site	60:100
kialo-wikipedia	71:90
argument-map-wikipedia	70:92
argdown-site	25:45
semantic-web-wikipedia	113:142
xanadu-wikipedia	79:95
graphiti-github	100:135
sepio-github	83:100
purview-ai	40:70
prov-wikipedia	70:86
glean-site	110:200
trulens-rag-triad	805:826
admiralty-code-wikipedia	62:100
palantir-ontology	763:775
nist-ai-rmf	145:162
graphrag-ms	113:140
arxiv-nanopub-claims	10:40
sciwrite-lint-arxiv	7:20
computerworld-dictation	44:75
zoominfo-data-decay	23:40
adr-github-io	1:12
guru-verification-help	236:280
llm-convergence-arxiv	7:20
